Date,Open,High,Low,Close,Adj Close,Volume
2020-10-16,23.870001,24.540001,23.350000,23.480000,23.480000,42300
2020-10-19,23.610001,24.490000,23.610001,23.820000,23.820000,46200
2020-10-20,24.160000,24.750000,23.870001,24.320000,24.320000,44900
2020-10-21,24.510000,24.980000,24.209999,24.469999,24.469999,50100
2020-10-22,23.520000,24.719999,23.520000,24.490000,24.490000,49000
2020-10-23,24.530001,25.469999,24.290001,25.309999,25.309999,54600
2020-10-26,24.930000,25.000000,24.250000,24.670000,24.670000,77400
2020-10-27,24.520000,25.430000,24.010000,25.020000,25.020000,58500
2020-10-28,23.660000,24.280001,23.370001,23.469999,23.469999,163700
2020-10-29,23.020000,23.500000,22.120001,22.830000,22.830000,84300
2020-10-30,22.620001,23.070000,21.200001,21.400000,21.400000,116600
2020-11-02,21.469999,22.480000,21.260000,21.770000,21.770000,52500
2020-11-03,22.340000,23.299999,22.030001,22.969999,22.969999,62400
2020-11-04,22.700001,23.980000,22.309999,23.889999,23.889999,59200
2020-11-05,23.709999,25.000000,23.559999,24.879999,24.879999,46100
2020-11-06,24.760000,24.760000,23.879999,23.879999,23.879999,32500
2020-11-09,26.200001,28.150000,25.910000,27.090000,27.090000,161900
2020-11-10,26.959999,28.760000,26.799999,27.910000,27.910000,99500
2020-11-11,28.010000,28.030001,25.860001,25.950001,25.950001,85400
2020-11-12,26.000000,26.000000,24.370001,25.110001,25.110001,57800
2020-11-13,25.270000,26.030001,24.440001,25.340000,25.340000,52200
